epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,32205.3,0.97969,0.72257,1.34906,0.88539,0.91093,0.93247,0.69717,1.14609,0.64334,1.57184,0.00915739,0.00915739,0.00915739
77,32466,0.96039,0.69455,1.33682,0.91258,0.9176,0.95167,0.72208,1.10904,0.62292,1.52783,0.00913545,0.00913545,0.00913545
78,32846.3,0.93014,0.7072,1.31778,0.91396,0.90656,0.94541,0.71934,1.10244,0.63437,1.52801,0.00911325,0.00911325,0.00911325
79,33209.7,0.94073,0.68414,1.31873,0.90343,0.9176,0.94907,0.71886,1.09561,0.62141,1.52274,0.00909079,0.00909079,0.00909079
80,33688.6,0.97123,0.70727,1.34883,0.938,0.9046,0.94816,0.70554,1.14239,0.62899,1.5639,0.00906809,0.00906809,0.00906809
81,34131.2,0.93941,0.68256,1.33387,0.92166,0.91687,0.94742,0.7169,1.12823,0.59062,1.54383,0.00904513,0.00904513,0.00904513
82,34398.6,0.95865,0.71013,1.34846,0.92916,0.90899,0.9487,0.69886,1.1534,0.62982,1.58888,0.00902193,0.00902193,0.00902193
83,34862.7,0.95891,0.72439,1.34964,0.93157,0.90594,0.94593,0.71529,1.12006,0.61479,1.54793,0.00899847,0.00899847,0.00899847
84,35223.4,0.96568,0.72139,1.33491,0.92845,0.91377,0.94541,0.71087,1.10938,0.62414,1.5327,0.00897477,0.00897477,0.00897477
85,35964.9,0.95316,0.69566,1.3295,0.9236,0.90217,0.94374,0.71275,1.12252,0.60418,1.54874,0.00895083,0.00895083,0.00895083
86,36376.5,0.93871,0.67482,1.3133,0.88808,0.9243,0.9461,0.7119,1.12457,0.6276,1.54488,0.00892664,0.00892664,0.00892664
87,36759.1,0.93689,0.67046,1.32418,0.85304,0.90204,0.89532,0.66068,1.12692,0.74741,1.54963,0.00890221,0.00890221,0.00890221
88,37088.7,0.9459,0.69639,1.34317,0.86798,0.91622,0.91927,0.69057,1.11944,0.67619,1.54141,0.00887753,0.00887753,0.00887753
89,37383.8,0.92825,0.67043,1.31375,0.88482,0.90095,0.92546,0.69756,1.1334,0.66498,1.55708,0.00885262,0.00885262,0.00885262
90,37664.2,0.92171,0.65808,1.30508,0.91857,0.9104,0.94898,0.71676,1.12422,0.59327,1.54578,0.00882747,0.00882747,0.00882747
91,38008.4,0.92372,0.65198,1.30813,0.8886,0.90504,0.94067,0.71242,1.1294,0.61154,1.54749,0.00880209,0.00880209,0.00880209
92,38558.5,0.93271,0.68324,1.3258,0.8798,0.90538,0.91989,0.68964,1.12554,0.65221,1.54549,0.00877647,0.00877647,0.00877647
93,38883.3,0.9282,0.66466,1.31121,0.84879,0.91938,0.90343,0.67489,1.11452,0.70354,1.53642,0.00875062,0.00875062,0.00875062
94,39392,0.93197,0.67697,1.31781,0.86177,0.93709,0.94546,0.71446,1.12493,0.62144,1.55602,0.00872453,0.00872453,0.00872453
95,39754.6,0.92735,0.66162,1.31302,0.86853,0.9326,0.92842,0.69702,1.12508,0.63422,1.5545,0.00869822,0.00869822,0.00869822
96,40133.5,0.92934,0.64498,1.31012,0.89765,0.93366,0.95089,0.71981,1.13689,0.58756,1.56232,0.00867168,0.00867168,0.00867168
97,40529.5,0.91702,0.64931,1.31406,0.88183,0.91882,0.93416,0.70502,1.14395,0.60468,1.57332,0.00864491,0.00864491,0.00864491
98,40825.2,0.91457,0.64921,1.31555,0.88948,0.90961,0.93929,0.7031,1.12867,0.63169,1.55836,0.00861792,0.00861792,0.00861792
99,41126.2,0.9153,0.66605,1.3111,0.91093,0.89681,0.93921,0.70397,1.13844,0.61139,1.56846,0.0085907,0.0085907,0.0085907
100,41450.9,0.92399,0.65296,1.30645,0.88606,0.91662,0.94351,0.71422,1.11413,0.61576,1.5448,0.00856326,0.00856326,0.00856326
101,41764.3,0.89894,0.64615,1.29054,0.88958,0.90985,0.93473,0.7037,1.10733,0.61707,1.53679,0.00853561,0.00853561,0.00853561
102,42090.6,0.9092,0.64126,1.30388,0.9408,0.90713,0.95313,0.7302,1.13121,0.57752,1.53092,0.00850773,0.00850773,0.00850773
103,42416.8,0.89329,0.62851,1.28792,0.88493,0.91067,0.92291,0.69927,1.12786,0.62219,1.55339,0.00847964,0.00847964,0.00847964
104,42762.9,0.90854,0.66141,1.30038,0.89901,0.90264,0.9351,0.71829,1.11854,0.59441,1.53547,0.00845133,0.00845133,0.00845133
105,43091.1,0.89166,0.63479,1.27621,0.87963,0.9191,0.92977,0.70024,1.12797,0.63384,1.55749,0.00842281,0.00842281,0.00842281
106,43369.3,0.91259,0.65078,1.3004,0.89977,0.92448,0.95257,0.71891,1.1132,0.60935,1.53182,0.00839408,0.00839408,0.00839408
107,43806.7,0.90791,0.6371,1.29538,0.90486,0.9085,0.94643,0.7188,1.10731,0.58029,1.53843,0.00836514,0.00836514,0.00836514
108,45205.8,0.91274,0.63621,1.29194,0.9097,0.92221,0.94428,0.72726,1.11724,0.57303,1.52434,0.008336,0.008336,0.008336
109,45587,0.90983,0.6532,1.29644,0.89321,0.9167,0.9249,0.69865,1.10985,0.63741,1.53136,0.00830664,0.00830664,0.00830664
110,45907.1,0.89561,0.65035,1.28877,0.87693,0.93025,0.92995,0.70079,1.11865,0.62208,1.54518,0.00827709,0.00827709,0.00827709
111,46230.1,0.88065,0.61344,1.27942,0.90943,0.93445,0.94133,0.71167,1.12167,0.57481,1.54942,0.00824733,0.00824733,0.00824733
112,46550.8,0.90309,0.62554,1.28672,0.91577,0.92249,0.94,0.71543,1.12611,0.58303,1.54304,0.00821737,0.00821737,0.00821737
113,46870.3,0.88776,0.62016,1.28196,0.88806,0.90984,0.93554,0.71253,1.1149,0.62336,1.51953,0.00818721,0.00818721,0.00818721
114,47144.9,0.89033,0.62931,1.28204,0.88237,0.91784,0.93188,0.70614,1.11561,0.62174,1.53745,0.00815686,0.00815686,0.00815686
115,47439.2,0.89059,0.60848,1.27442,0.92137,0.93024,0.95256,0.72238,1.13378,0.56848,1.54908,0.00812631,0.00812631,0.00812631
116,47839.7,0.89007,0.61846,1.27883,0.92979,0.9291,0.95325,0.72401,1.12084,0.56256,1.53826,0.00809556,0.00809556,0.00809556
117,48312.4,0.88505,0.61781,1.27655,0.92517,0.92721,0.95315,0.71607,1.14608,0.5529,1.55726,0.00806463,0.00806463,0.00806463
118,48594.5,0.89215,0.62116,1.27483,0.90444,0.91645,0.94255,0.7168,1.14125,0.56988,1.55429,0.00803351,0.00803351,0.00803351
119,48885.8,0.89933,0.62332,1.2828,0.92109,0.92662,0.95469,0.7238,1.13,0.55194,1.54074,0.0080022,0.0080022,0.0080022
120,49156.1,0.87174,0.6159,1.26503,0.91389,0.92902,0.95143,0.72612,1.11573,0.54336,1.53877,0.00797071,0.00797071,0.00797071
121,49556.1,0.87663,0.60638,1.2788,0.92775,0.93661,0.95627,0.72907,1.12464,0.53463,1.54002,0.00793903,0.00793903,0.00793903
122,49827.7,0.86356,0.61006,1.26138,0.93309,0.9192,0.95614,0.7288,1.11956,0.53533,1.52747,0.00790717,0.00790717,0.00790717
123,50156.7,0.86451,0.59471,1.25735,0.94277,0.92961,0.95477,0.73393,1.11316,0.5326,1.51366,0.00787513,0.00787513,0.00787513
124,50434.2,0.8839,0.61374,1.283,0.92434,0.91189,0.94557,0.72303,1.13204,0.54451,1.54543,0.00784292,0.00784292,0.00784292
125,50675.7,0.88194,0.6106,1.26595,0.91277,0.91948,0.94939,0.72636,1.12913,0.5445,1.54993,0.00781053,0.00781053,0.00781053
126,51118.7,0.88145,0.59815,1.25907,0.90873,0.91768,0.95098,0.72533,1.12539,0.55468,1.53567,0.00777796,0.00777796,0.00777796
127,51478.1,0.87873,0.59694,1.27587,0.91977,0.91304,0.94486,0.72518,1.10908,0.54404,1.51985,0.00774523,0.00774523,0.00774523
128,51828.9,0.87376,0.61487,1.27115,0.90011,0.92249,0.93616,0.71721,1.1015,0.57729,1.51776,0.00771232,0.00771232,0.00771232
129,52211.9,0.85296,0.58886,1.26253,0.87615,0.93016,0.91171,0.69195,1.12198,0.62926,1.55381,0.00767925,0.00767925,0.00767925
130,52495.5,0.87188,0.59331,1.26824,0.93331,0.92292,0.95187,0.73292,1.12592,0.51709,1.54652,0.00764601,0.00764601,0.00764601
131,53075.9,0.86673,0.5926,1.26619,0.92921,0.92821,0.95191,0.73715,1.117,0.51254,1.52693,0.00761261,0.00761261,0.00761261
132,53415.2,0.88593,0.62198,1.28377,0.89643,0.91866,0.93899,0.72052,1.12136,0.56092,1.53599,0.00757905,0.00757905,0.00757905
133,53841.8,0.86034,0.60317,1.25315,0.90724,0.92111,0.93926,0.71731,1.12209,0.57861,1.53768,0.00754533,0.00754533,0.00754533
134,54412.3,0.86102,0.59599,1.25773,0.90153,0.9291,0.93363,0.71243,1.09207,0.57861,1.51529,0.00751145,0.00751145,0.00751145
135,54792.9,0.86223,0.58772,1.26381,0.90883,0.93346,0.94171,0.72789,1.0981,0.53735,1.52468,0.00747742,0.00747742,0.00747742
